,J2,GSE
0,50.0,-1121.1242142823219
1,25.0,-560.583212416202
2,16.666666666666668,-373.74580009773894
3,12.5,-280.33441850389437
4,10.0,-224.29356010682434
5,8.333333333333332,-186.93805951252241
6,7.142857142857143,-160.2599921717247
7,6.25,-140.2553990766523
8,5.555555555555555,-124.69986167863978
9,5.0,-112.25873187384545
10,4.545454545454546,-102.0826911064905
11,4.166666666666667,-93.60552993965102
12,3.846153846153846,-86.43526015152956
13,3.571428571428571,-80.29189309655506
14,3.333333333333333,-74.97010674325905
15,3.125,-70.31591259517579
16,2.941176470588235,-66.21155783954113
17,2.7777777777777772,-62.56546013787309
18,2.6315789473684212,-59.30532093009101
19,2.5,-56.37330477554453
20,2.380952380952381,-53.722596055360974
21,2.272727272727273,-51.31489478846198
22,2.1739130434782608,-49.118565748071404
23,2.083333333333333,-47.10725033715261
24,2.0,-45.2588116551321
25,1.923076923076923,-43.55452305592224
26,1.8518518518518516,-41.97843707579482
27,1.7857142857142856,-40.51688964520768
28,1.7241379310344827,-39.15810693712627
29,1.6666666666666667,-37.89189091142655
30,1.6129032258064517,-36.70936579430848
31,1.5625,-35.60277217322038
32,1.5151515151515151,-34.56529861819502
33,1.4705882352941175,-33.5909431159784
34,1.4285714285714284,-32.67439836815104
35,1.3888888888888886,-31.810956328227263
36,1.3513513513513513,-30.996428354644344
37,1.3157894736842106,-30.227078121272832
38,1.282051282051282,-29.499565015329676
39,1.25,-28.81089620833036
40,1.2195121951219512,-28.15838594106882
41,1.1904761904761905,-27.539620842136788
42,1.1627906976744187,-26.9524303185493
43,1.1363636363636365,-26.394861229440433
44,1.1111111111111112,-25.865156188887983
45,1.0869565217391304,-25.361734948443154
46,1.0638297872340425,-24.883178388531732
47,1.0416666666666665,-24.428214703548395
48,1.0204081632653061,-23.995707399886538
49,1.0,-23.584644740109585
50,0.9803921568627451,-23.194130260378277
51,0.9615384615384615,-22.823373962956932
52,0.9433962264150942,-22.471683743747466
53,0.9259259259259258,-22.138456562702228
54,0.9090909090909091,-21.823168815309234
55,0.8928571428571428,-21.5253653379326
56,0.8771929824561403,-21.308197291064463
57,0.8620689655172413,-21.11925639119043
58,0.8474576271186441,-20.93842201421866
59,0.8333333333333334,-20.76528126371385
60,0.819672131147541,-20.599453735140823
61,0.8064516129032259,-20.440589222808466
62,0.7936507936507936,-20.2883656800412
63,0.78125,-20.142487409810727
64,0.7692307692307692,-20.00268346532489
65,0.7575757575757576,-19.868706241751486
66,0.7462686567164178,-19.74033024131423
67,0.7352941176470588,-19.617350994378246
68,0.7246376811594202,-19.4995841187366
69,0.7142857142857142,-19.38686449800043
70,0.704225352112676,-19.279045557612857
71,0.6944444444444444,-19.17599861339298
72,0.684931506849315,-19.077612262498466
73,0.6756756756756757,-18.983791780162672
74,0.6666666666666666,-18.894458477523887
75,0.6578947368421053,-18.8095489665392
76,0.6493506493506493,-18.72901426795858
77,0.641025641025641,-18.652818688745956
78,0.6329113924050632,-18.58093838802969
79,0.625,-18.513359548368225
80,0.6172839506172839,-18.45007607542323
81,0.6097560975609756,-18.391086768243735
82,0.6024096385542168,-18.336391938313785
83,0.5952380952380952,-18.28598951090139
84,0.5882352941176471,-18.239870716353376
85,0.5813953488372093,-18.198015565869827
86,0.5747126436781609,-18.160388393507084
87,0.5681818181818182,-18.133867220266545
88,0.5617977528089888,-18.116248751737956
89,0.5555555555555556,-18.10012730114391
90,0.5494505494505494,-18.085385249849438
91,0.5434782608695652,-18.071916052572792
92,0.5376344086021505,-18.059622995444055
93,0.5319148936170213,-18.048418110671765
94,0.5263157894736842,-18.03822122728219
95,0.5208333333333333,-18.028959139870697
96,0.5154639175257733,-18.020564879603835
97,0.5102040816326531,-18.012977073793774
98,0.5050505050505051,-18.006139382219832
99,0.5,-18.000000000000007
