N,h,trial,epoch,energy,epoch time
6.0,0.1,0.0,0.0,-0.3186895251274109,0.2953619956970215
6.0,0.1,0.0,1.0,-0.2848929762840271,0.3415801525115967
6.0,0.1,0.0,2.0,-0.0989014282822609,0.44068193435668945
6.0,0.1,0.0,3.0,-0.32146888971328735,0.28365373611450195
6.0,0.1,0.0,4.0,-0.5058716535568237,0.28470468521118164
6.0,0.1,0.0,5.0,-0.7262089848518372,0.30924081802368164
6.0,0.1,0.0,6.0,-1.3790702819824219,0.287764310836792
6.0,0.1,0.0,7.0,-1.0364054441452026,0.2778468132019043
6.0,0.1,0.0,8.0,-1.0053554773330688,0.42302465438842773
6.0,0.1,0.0,9.0,-0.6001536250114441,0.3096146583557129
6.0,0.1,0.0,10.0,-1.1291097402572632,0.30204224586486816
6.0,0.1,0.0,11.0,-0.4728603661060333,0.32944321632385254
6.0,0.1,0.0,12.0,-0.5719554424285889,0.34154462814331055
6.0,0.1,0.0,13.0,-0.6007193326950073,0.3195059299468994
6.0,0.1,0.0,14.0,-1.0055804252624512,0.48502683639526367
6.0,0.1,0.0,15.0,-0.9072008728981018,0.28200197219848633
6.0,0.1,0.0,16.0,-1.09438955783844,0.2887234687805176
6.0,0.1,0.0,17.0,-0.9733561873435974,0.31066370010375977
6.0,0.1,0.0,18.0,-0.540018618106842,0.27022337913513184
6.0,0.1,0.0,19.0,-1.031968116760254,0.27207398414611816
6.0,0.1,0.0,20.0,-1.2786544561386108,0.3639404773712158
6.0,0.1,0.0,21.0,-1.0381801128387451,0.25997352600097656
6.0,0.1,0.0,22.0,-1.1570956707000732,0.26596903800964355
6.0,0.1,0.0,23.0,-1.611796498298645,0.2731282711029053
6.0,0.1,0.0,24.0,-1.1487524509429932,0.26201367378234863
6.0,0.1,0.0,25.0,-2.690363883972168,0.2649385929107666
6.0,0.1,0.0,26.0,-1.8120685815811157,0.35804033279418945
6.0,0.1,0.0,27.0,-2.927299976348877,0.25275444984436035
6.0,0.1,0.0,28.0,-2.770226001739502,0.24975323677062988
6.0,0.1,0.0,29.0,-2.3409907817840576,0.2585573196411133
6.0,0.1,0.0,30.0,-2.2956414222717285,0.259136438369751
6.0,0.1,0.0,31.0,-3.6589012145996094,0.24545049667358398
6.0,0.1,0.0,32.0,-3.9216833114624023,0.32729291915893555
6.0,0.1,0.0,33.0,-3.731116771697998,0.2336137294769287
6.0,0.1,0.0,34.0,-4.925281047821045,0.1362316608428955
6.0,0.1,0.0,35.0,-4.159296035766602,0.1759955883026123
6.0,0.1,0.0,36.0,-3.631013870239258,0.2571098804473877
6.0,0.1,0.0,37.0,-3.4545841217041016,0.2449345588684082
6.0,0.1,0.0,38.0,-4.979435920715332,0.12368345260620117
6.0,0.1,0.0,39.0,-5.16274881362915,0.09589076042175293
6.0,0.1,0.0,40.0,-5.550586700439453,0.09422898292541504
6.0,0.1,0.0,41.0,-5.358335494995117,0.12557363510131836
6.0,0.1,0.0,42.0,-6.079375743865967,0.055951595306396484
6.0,0.1,0.0,43.0,-4.0612287521362305,0.19655609130859375
6.0,0.1,0.0,44.0,-5.754544258117676,0.1754765510559082
6.0,0.1,0.0,45.0,-6.053705215454102,0.04760241508483887
6.0,0.1,0.0,46.0,-6.0478997230529785,0.03986501693725586
6.0,0.1,0.0,47.0,-5.78093147277832,0.0674123764038086
6.0,0.1,0.0,48.0,-4.936750411987305,0.204833984375
6.0,0.1,0.0,49.0,-6.035013198852539,0.0580599308013916
6.0,0.1,0.0,50.0,-6.002310276031494,0.0619359016418457
6.0,0.1,0.0,51.0,-6.029471397399902,0.051644086837768555
6.0,0.1,0.0,52.0,-6.027361869812012,0.04232382774353027
6.0,0.1,0.0,53.0,-6.02559757232666,0.04011130332946777
6.0,0.1,0.0,54.0,-6.02411413192749,0.0396270751953125
6.0,0.1,0.0,55.0,-6.010746002197266,0.05688762664794922
6.0,0.1,0.0,56.0,-6.021751880645752,0.044648170471191406
6.0,0.1,0.0,57.0,-6.020807266235352,0.03818678855895996
6.0,0.1,0.0,58.0,-6.019994258880615,0.03973078727722168
6.0,0.1,0.0,59.0,-6.019288063049316,0.04239797592163086
6.0,0.1,0.0,60.0,-6.018677234649658,0.0411677360534668
6.0,0.1,0.0,61.0,-6.018143177032471,0.04040670394897461
6.0,0.1,0.0,62.0,-6.0176777839660645,0.03914642333984375
6.0,0.1,0.0,63.0,-6.017270088195801,0.041140079498291016
6.0,0.1,0.0,64.0,-6.016908645629883,0.04070305824279785
6.0,0.1,0.0,65.0,-6.1082763671875,0.06015491485595703
6.0,0.1,0.0,66.0,-6.016479015350342,0.04150390625
6.0,0.1,0.0,67.0,-6.016372203826904,0.04143404960632324
6.0,0.1,0.0,68.0,-6.016273021697998,0.040357351303100586
6.0,0.1,0.0,69.0,-6.016181468963623,0.03992509841918945
6.0,0.1,0.0,70.0,-6.016097068786621,0.04010128974914551
6.0,0.1,0.0,71.0,-6.016018867492676,0.03902626037597656
6.0,0.1,0.0,72.0,-6.015945911407471,0.04188418388366699
6.0,0.1,0.0,73.0,-6.015879154205322,0.04262661933898926
6.0,0.1,0.0,74.0,-6.015818119049072,0.04122281074523926
6.0,0.1,0.0,75.0,-6.015762805938721,0.04352569580078125
6.0,0.1,0.0,76.0,-6.015711307525635,0.03965926170349121
6.0,0.1,0.0,77.0,-6.015665054321289,0.039409637451171875
6.0,0.1,0.0,78.0,-6.015623092651367,0.04088544845581055
6.0,0.1,0.0,79.0,-6.015584468841553,0.03980517387390137
6.0,0.1,0.0,80.0,-6.0155487060546875,0.04149317741394043
6.0,0.1,0.0,81.0,-6.015517234802246,0.041883230209350586
6.0,0.1,0.0,82.0,-6.015487194061279,0.04020404815673828
6.0,0.1,0.0,83.0,-6.0154595375061035,0.04032588005065918
6.0,0.1,0.0,84.0,-6.015435218811035,0.04203677177429199
6.0,0.1,0.0,85.0,-6.015413284301758,0.0387117862701416
6.0,0.1,0.0,86.0,-6.01539421081543,0.03878426551818848
6.0,0.1,0.0,87.0,-6.015375137329102,0.03945589065551758
6.0,0.1,0.0,88.0,-6.0153584480285645,0.03941082954406738
6.0,0.1,0.0,89.0,-6.015343189239502,0.03933310508728027
6.0,0.1,0.0,90.0,-6.015329837799072,0.0400235652923584
6.0,0.1,0.0,91.0,-6.015318870544434,0.04011797904968262
6.0,0.1,0.0,92.0,-6.01530647277832,0.039476871490478516
