N,h,trial,epoch,energy,epoch time
10.0,0.1,0.0,0.0,-0.7811265587806702,8.286678791046143
10.0,0.1,0.0,1.0,-1.4942128658294678,10.64055871963501
10.0,0.1,0.0,2.0,-0.8911113142967224,8.384462356567383
10.0,0.1,0.0,3.0,-0.8545853495597839,10.57284426689148
10.0,0.1,0.0,4.0,-1.2562930583953857,19.57163119316101
10.0,0.1,0.0,5.0,-1.5045727491378784,11.219685554504395
10.0,0.1,0.0,6.0,-0.8765772581100464,12.63969087600708
10.0,0.1,0.0,7.0,-1.0637900829315186,9.6701021194458
10.0,0.1,0.0,8.0,-0.9615664482116699,9.760434865951538
10.0,0.1,0.0,9.0,-0.9877092242240906,10.699092149734497
10.0,0.1,0.0,10.0,-1.280705213546753,10.882710933685303
10.0,0.1,0.0,11.0,-1.6285191774368286,9.686522960662842
10.0,0.1,0.0,12.0,-0.7012935876846313,10.43495225906372
10.0,0.1,0.0,13.0,-2.1228127479553223,14.771679639816284
10.0,0.1,0.0,14.0,-1.3167895078659058,14.754654884338379
10.0,0.1,0.0,15.0,-1.6213109493255615,16.642937898635864
10.0,0.1,0.0,16.0,-2.7073869705200195,12.051159381866455
10.0,0.1,0.0,17.0,-1.2662464380264282,12.176068782806396
10.0,0.1,0.0,18.0,-1.37856125831604,10.811074495315552
10.0,0.1,0.0,19.0,-2.4003067016601562,11.36689805984497
10.0,0.1,0.0,20.0,-2.9251911640167236,10.32410478591919
10.0,0.1,0.0,21.0,-2.546159267425537,8.403093099594116
10.0,0.1,0.0,22.0,-1.9985227584838867,8.784538984298706
10.0,0.1,0.0,23.0,-2.8955798149108887,9.064444303512573
10.0,0.1,0.0,24.0,-3.078770637512207,8.381277799606323
10.0,0.1,0.0,25.0,-3.536686420440674,7.857667446136475
10.0,0.1,0.0,26.0,-3.4520316123962402,6.881331443786621
10.0,0.1,0.0,27.0,-3.596651077270508,5.40191388130188
10.0,0.1,0.0,28.0,-3.7785415649414062,6.698859930038452
10.0,0.1,0.0,29.0,-3.9899847507476807,5.809155225753784
10.0,0.1,0.0,30.0,-3.5114245414733887,5.232545614242554
10.0,0.1,0.0,31.0,-3.731776714324951,4.788511037826538
10.0,0.1,0.0,32.0,-4.197592258453369,4.128919839859009
10.0,0.1,0.0,33.0,-5.759533882141113,2.868128538131714
10.0,0.1,0.0,34.0,-4.617269039154053,3.5048861503601074
10.0,0.1,0.0,35.0,-5.231146812438965,2.4198920726776123
10.0,0.1,0.0,36.0,-5.605216026306152,2.2725985050201416
10.0,0.1,0.0,37.0,-5.759216785430908,1.9586901664733887
10.0,0.1,0.0,38.0,-5.16966438293457,2.6889824867248535
10.0,0.1,0.0,39.0,-6.297617435455322,2.128964900970459
10.0,0.1,0.0,40.0,-6.0255961418151855,1.6446969509124756
10.0,0.1,0.0,41.0,-5.614557266235352,1.6856286525726318
10.0,0.1,0.0,42.0,-5.663523197174072,1.663597822189331
10.0,0.1,0.0,43.0,-6.161325454711914,1.1413819789886475
10.0,0.1,0.0,44.0,-5.572248458862305,2.2762718200683594
10.0,0.1,0.0,45.0,-4.693547248840332,3.530158519744873
10.0,0.1,0.0,46.0,-6.0594635009765625,1.707249641418457
10.0,0.1,0.0,47.0,-5.671492576599121,1.5809993743896484
10.0,0.1,0.0,48.0,-6.293955326080322,1.4584128856658936
10.0,0.1,0.0,49.0,-6.236356735229492,1.026397466659546
10.0,0.1,0.0,50.0,-6.5018630027771,0.9364910125732422
10.0,0.1,0.0,51.0,-6.348519802093506,1.329805850982666
10.0,0.1,0.0,52.0,-6.279408931732178,1.027134895324707
10.0,0.1,0.0,53.0,-6.4468464851379395,0.9058973789215088
10.0,0.1,0.0,54.0,-6.228399276733398,0.8089237213134766
10.0,0.1,0.0,55.0,-6.313825607299805,1.0694160461425781
10.0,0.1,0.0,56.0,-6.459458827972412,0.8585336208343506
10.0,0.1,0.0,57.0,-6.197742938995361,0.6964390277862549
10.0,0.1,0.0,58.0,-6.536556243896484,0.94677734375
10.0,0.1,0.0,59.0,-6.328056335449219,0.7446885108947754
10.0,0.1,0.0,60.0,-6.1943888664245605,0.9731216430664062
10.0,0.1,0.0,61.0,-6.328853607177734,1.005312442779541
10.0,0.1,0.0,62.0,-6.282043933868408,0.9333393573760986
10.0,0.1,0.0,63.0,-6.379144668579102,0.8411047458648682
10.0,0.1,0.0,64.0,-6.349784851074219,0.793816089630127
10.0,0.1,0.0,65.0,-6.3665690422058105,0.8230633735656738
10.0,0.1,0.0,66.0,-6.555476188659668,1.1645805835723877
10.0,0.1,0.0,67.0,-6.369091033935547,0.9379079341888428
10.0,0.1,0.0,68.0,-6.272246360778809,0.871589183807373
10.0,0.1,0.0,69.0,-6.431119441986084,0.8092505931854248
10.0,0.1,0.0,70.0,-6.35843563079834,0.8881347179412842
10.0,0.1,0.0,71.0,-7.527865409851074,0.826164722442627
10.0,0.1,0.0,72.0,-6.371816635131836,1.1353888511657715
10.0,0.1,0.0,73.0,-6.639325141906738,1.075002670288086
10.0,0.1,0.0,74.0,-8.38745403289795,1.1107704639434814
10.0,0.1,0.0,75.0,-7.672867774963379,0.8733651638031006
10.0,0.1,0.0,76.0,-7.596612930297852,1.0692143440246582
10.0,0.1,0.0,77.0,-8.956335067749023,0.8521549701690674
10.0,0.1,0.0,78.0,-9.169830322265625,0.6909914016723633
10.0,0.1,0.0,79.0,-8.8941650390625,0.6021745204925537
10.0,0.1,0.0,80.0,-7.65761661529541,0.9246234893798828
10.0,0.1,0.0,81.0,-9.471257209777832,0.6197586059570312
10.0,0.1,0.0,82.0,-9.849968910217285,0.4752655029296875
10.0,0.1,0.0,83.0,-9.405991554260254,0.7406196594238281
10.0,0.1,0.0,84.0,-9.92763900756836,0.3490896224975586
10.0,0.1,0.0,85.0,-9.819866180419922,0.2690107822418213
10.0,0.1,0.0,86.0,-10.040178298950195,0.18433237075805664
10.0,0.1,0.0,87.0,-10.03703784942627,0.1512131690979004
10.0,0.1,0.0,88.0,-10.034728050231934,0.1475977897644043
10.0,0.1,0.0,89.0,-9.877509117126465,0.3566930294036865
10.0,0.1,0.0,90.0,-10.022261619567871,0.24509763717651367
10.0,0.1,0.0,91.0,-10.029927253723145,0.15012121200561523
10.0,0.1,0.0,92.0,-10.028916358947754,0.13676047325134277
10.0,0.1,0.0,93.0,-10.028162002563477,0.13655686378479004
10.0,0.1,0.0,94.0,-10.01865005493164,0.28565025329589844
10.0,0.1,0.0,95.0,-9.958020210266113,0.37053680419921875
10.0,0.1,0.0,96.0,-10.025609016418457,0.16986870765686035
10.0,0.1,0.0,97.0,-10.024408340454102,0.14581680297851562
10.0,0.1,0.0,98.0,-10.023382186889648,0.14557814598083496
10.0,0.1,0.0,99.0,-10.022505760192871,0.14895129203796387
10.0,0.1,0.0,100.0,-10.021749496459961,0.15329670906066895
10.0,0.1,0.0,101.0,-10.021093368530273,0.1496117115020752
10.0,0.1,0.0,102.0,-10.020524978637695,0.1477186679840088
10.0,0.1,0.0,103.0,-10.02003002166748,0.13658475875854492
10.0,0.1,0.0,104.0,-10.019594192504883,0.1377854347229004
10.0,0.1,0.0,105.0,-10.03486442565918,0.2254018783569336
10.0,0.1,0.0,106.0,-10.019071578979492,0.15515661239624023
10.0,0.1,0.0,107.0,-10.018945693969727,0.24569344520568848
10.0,0.1,0.0,108.0,-10.018834114074707,0.1464858055114746
10.0,0.1,0.0,109.0,-10.018738746643066,0.1424427032470703
10.0,0.1,0.0,110.0,-10.018655776977539,0.15119051933288574
10.0,0.1,0.0,111.0,-10.018583297729492,0.1444380283355713
10.0,0.1,0.0,112.0,-10.018518447875977,0.15076875686645508
10.0,0.1,0.0,113.0,-10.018461227416992,0.15553569793701172
10.0,0.1,0.0,114.0,-10.018411636352539,0.15175914764404297
10.0,0.1,0.0,115.0,-10.018365859985352,0.1500411033630371
10.0,0.1,0.0,116.0,-10.018326759338379,0.14679574966430664
10.0,0.1,0.0,117.0,-10.018293380737305,0.15085935592651367
10.0,0.1,0.0,118.0,-10.01826286315918,0.14953827857971191
10.0,0.1,0.0,119.0,-10.018233299255371,0.15083074569702148
10.0,0.1,0.0,120.0,-9.931867599487305,0.4522407054901123
10.0,0.1,0.0,121.0,-10.017602920532227,0.27135562896728516
10.0,0.1,0.0,122.0,-10.012351036071777,0.22420763969421387
10.0,0.1,0.0,123.0,-10.016717910766602,0.16107583045959473
10.0,0.1,0.0,124.0,-10.016387939453125,0.15649199485778809
10.0,0.1,0.0,125.0,-10.016127586364746,0.15253591537475586
10.0,0.1,0.0,126.0,-10.01591968536377,0.14865779876708984
10.0,0.1,0.0,127.0,-10.015752792358398,0.14731240272521973
10.0,0.1,0.0,128.0,-10.015619277954102,0.14774370193481445
10.0,0.1,0.0,129.0,-10.015512466430664,0.1524198055267334
10.0,0.1,0.0,130.0,-10.015425682067871,0.14855170249938965
10.0,0.1,0.0,131.0,-10.015352249145508,0.15490055084228516
10.0,0.1,0.0,132.0,-10.015295028686523,0.1504364013671875
10.0,0.1,0.0,133.0,-10.015249252319336,0.14964818954467773
10.0,0.1,0.0,134.0,-10.015212059020996,0.14586615562438965
10.0,0.1,0.0,135.0,-10.015180587768555,0.1473400592803955
10.0,0.1,0.0,136.0,-10.012712478637695,0.3164710998535156
10.0,0.1,0.0,137.0,-10.015095710754395,0.17112255096435547
10.0,0.1,0.0,138.0,-10.015046119689941,0.16022849082946777
