,J2,GSE
0,0.0,-21.54956366978082
1,0.005,-21.5045262947216
2,0.01,-21.459574559344023
3,0.015,-21.41470945936798
4,0.02,-21.36993201302131
5,0.025,-21.325243261850577
6,0.03,-21.280644271573028
7,0.035,-21.236136132969957
8,0.04,-21.191719962825104
9,0.045,-21.147396904910455
10,0.05,-21.10316813102291
11,0.055,-21.05903484207443
12,0.06,-21.014998269239417
13,0.065,-20.971059675163136
14,0.07,-20.92722035523486
15,0.075,-20.883481638930085
16,0.08,-20.839844891226623
17,0.085,-20.796311514099244
18,0.09,-20.75288294809823
19,0.095,-20.709560674018206
20,0.1,-20.666346214662127
21,0.105,-20.623241136708867
22,0.11,-20.5802470526901
23,0.115,-20.537365623085318
24,0.12,-20.494598558543217
25,0.125,-20.451947622238553
26,0.13,-20.409414632374368
27,0.135,-20.367001464840914
28,0.14,-20.324710056042367
29,0.145,-20.28254240590461
30,0.15,-20.240500581077743
31,0.155,-20.198586718348373
32,0.16,-20.15680302827845
33,0.165,-20.115151799087958
34,0.17,-20.073635400801624
35,0.17500000000000002,-20.032256289680713
36,0.18,-19.99101701296282
37,0.185,-19.949920213935744
38,0.19,-19.90896863737267
39,0.195,-19.86816513535925
40,0.2,-19.827512673546043
41,0.20500000000000002,-19.7870143378625
42,0.21,-19.746673341732762
43,0.215,-19.706493033836914
44,0.22,-19.666476906466176
45,0.225,-19.62662860452475
46,0.23,-19.58695193523662
47,0.23500000000000001,-19.547450878621458
48,0.24,-19.508129598809948
49,0.245,-19.468992456276354
50,0.25,-19.430044021073833
51,0.255,-19.391289087166744
52,0.26,-19.352732687964117
53,0.265,-19.314380113169076
54,0.27,-19.2762369270706
55,0.275,-19.238308988417867
56,0.28,-19.200602472031168
57,0.28500000000000003,-19.16312389231992
58,0.29,-19.125880128895684
59,0.295,-19.08887845448795
60,0.3,-19.052126565391067
61,0.305,-19.0156326146947
62,0.31,-18.979405248575407
63,0.315,-18.943453645954552
64,0.32,-18.90778756185772
65,0.325,-18.872417374842556
66,0.33,-18.837354138896398
67,0.335,-18.802609640240814
68,0.34,-18.768196459516826
69,0.34500000000000003,-18.734128039862824
70,0.35000000000000003,-18.700418761434246
71,0.355,-18.667084022949087
72,0.36,-18.634140330875173
73,0.365,-18.601605396898933
74,0.37,-18.56949824432976
75,0.375,-18.537839324091987
76,0.38,-18.50665064093238
77,0.385,-18.475955890416298
78,0.39,-18.445780607188855
79,0.395,-18.416152324824687
80,0.4,-18.38710074736412
81,0.405,-18.358657932312674
82,0.41000000000000003,-18.330858484438725
83,0.41500000000000004,-18.30373975910949
84,0.42,-18.277342073121336
85,0.425,-18.251708919968813
86,0.43,-18.2268871852094
87,0.435,-18.202927355979885
88,0.44,-18.17988371676551
89,0.445,-18.157814521194293
90,0.45,-18.136782126927244
91,0.455,-18.11685307769564
92,0.46,-18.09809811330923
93,0.465,-18.08059208523459
94,0.47000000000000003,-18.064413752454183
95,0.47500000000000003,-18.049645430234126
96,0.48,-18.036372463788428
97,0.485,-18.024682500398814
98,0.49,-18.014664538189297
99,0.495,-18.006407738274703
