,J2,GSE
0,0.0,-14.60437363574871
1,0.005,-14.573076473690543
2,0.01,-14.54183431462023
3,0.015,-14.510647764572827
4,0.02,-14.479517442328117
5,0.025,-14.448443979850753
6,0.03,-14.417428022750093
7,0.035,-14.386470230760551
8,0.04,-14.355571278244458
9,0.045,-14.32473185471743
10,0.05,-14.293952665398296
11,0.055,-14.263234431784952
12,0.06,-14.232577892256655
13,0.065,-14.201983802705486
14,0.07,-14.171452937197282
15,0.075,-14.140986088664535
16,0.08,-14.110584069633333
17,0.085,-14.080247712984766
18,0.09,-14.049977872754221
19,0.095,-14.019775424970533
20,0.1,-13.989641268536246
21,0.105,-13.959576326152506
22,0.11,-13.929581545290636
23,0.115,-13.899657899213015
24,0.12,-13.869806388046799
25,0.125,-13.840028039912687
26,0.13,-13.810323912112809
27,0.135,-13.780695092380746
28,0.14,-13.75114270019786
29,0.145,-13.721667888179757
30,0.15,-13.692271843537286
31,0.155,-13.662955789615989
32,0.16,-13.633720987520661
33,0.165,-13.604568737827629
34,0.17,-13.575500382393448
35,0.17500000000000002,-13.546517306263032
36,0.18,-13.517620939686083
37,0.185,-13.488812760247098
38,0.19,-13.46009429511714
39,0.195,-13.431467123435283
40,0.2,-13.402932878827755
41,0.20500000000000002,-13.374493252074187
42,0.21,-13.346149993931158
43,0.215,-13.31790491812254
44,0.22,-13.289759904509065
45,0.225,-13.261716902448144
46,0.23,-13.233777934357926
47,0.23500000000000001,-13.205945099498981
48,0.24,-13.178220577988824
49,0.245,-13.15060663506542
50,0.25,-13.12310562561766
51,0.255,-13.095719999000147
52,0.26,-13.068452304154459
53,0.265,-13.041305195056884
54,0.27,-13.014281436517221
55,0.275,-12.987383910353092
56,0.28,-12.960615621967637
57,0.28500000000000003,-12.9339797073595
58,0.29,-12.907479440596623
59,0.295,-12.881118241788261
60,0.3,-12.854899685591729
61,0.305,-12.828827510293245
62,0.31,-12.80290562750581
63,0.315,-12.777138132529675
64,0.32,-12.751529315425321
65,0.325,-12.726083672851717
66,0.33,-12.700805920727268
67,0.335,-12.675701007775405
68,0.34,-12.65077413002056
69,0.34500000000000003,-12.626030746306027
70,0.35000000000000003,-12.601476594909704
71,0.355,-12.577117711339831
72,0.36,-12.55296044739789
73,0.365,-12.529011491602267
74,0.37,-12.505277891072163
75,0.375,-12.481767074977961
76,0.38,-12.458486879669934
77,0.385,-12.435445575604481
78,0.39,-12.41265189619264
79,0.395,-12.39011506870214
80,0.4,-12.367844847348927
81,0.405,-12.345851548720285
82,0.41000000000000003,-12.324146089673755
83,0.41500000000000004,-12.302740027859068
84,0.42,-12.281645605011091
85,0.425,-12.26087579315787
86,0.43,-12.240444343883803
87,0.435,-12.220365840777294
88,0.44,-12.20065575517679
89,0.445,-12.181330505308173
90,0.45,-12.16240751887529
91,0.455,-12.14390529912659
92,0.46,-12.12584349436773
93,0.465,-12.108242970823982
94,0.47000000000000003,-12.09112588867128
95,0.47500000000000003,-12.074515780951135
96,0.48,-12.058437634953442
97,0.485,-12.042917975496982
98,0.49,-12.027984949344413
99,0.495,-12.013668409766485
