,J2,GSE
0,0.0,-18.06178541796817
1,0.005,-18.0237103461258
2,0.01,-17.985705649722973
3,0.015,-17.94777213296745
4,0.02,-17.90991061805615
5,0.025,-17.872121945819384
6,0.03,-17.83440697639575
7,0.035,-17.796766589939597
8,0.04,-17.759201687363035
9,0.045,-17.721713191114294
10,0.05,-17.684302045994958
11,0.055,-17.646969220018082
12,0.06,-17.609715705309807
13,0.065,-17.572542519057325
14,0.07,-17.535450704505696
15,0.075,-17.498441332006916
16,0.08,-17.46151550012433
17,0.085,-17.424674336795956
18,0.09,-17.387919000560576
19,0.095,-17.35125068185056
20,0.1,-17.31467060435584
21,0.105,-17.278180026463787
22,0.11,-17.241780242779914
23,0.115,-17.205472585734864
24,0.12,-17.169258427283783
25,0.125,-17.13313918070401
26,0.13,-17.097116302498183
27,0.135,-17.061191294409927
28,0.14,-17.025365705560258
29,0.145,-16.98964113471303
30,0.15,-16.954019232678835
31,0.155,-16.91850170486742
32,0.16,-16.883090313999272
33,0.165,-16.8477868829883
34,0.17,-16.81259329800825
35,0.17500000000000002,-16.777511511756682
36,0.18,-16.742543546931433
37,0.185,-16.707691499935887
38,0.19,-16.67295754483061
39,0.195,-16.63834393755069
40,0.2,-16.603853020409492
41,0.20500000000000002,-16.56948722691163
42,0.21,-16.535249086899913
43,0.215,-16.501141232063226
44,0.22,-16.467166401834607
45,0.225,-16.43332744971179
46,0.23,-16.399627350035065
47,0.23500000000000001,-16.366069205260747
48,0.24,-16.33265625377199
49,0.245,-16.29939187827267
50,0.25,-16.2662796148142
51,0.255,-16.233323162510107
52,0.26,-16.20052639399802
53,0.265,-16.167893366714825
54,0.27,-16.135428335056677
55,0.275,-16.103135763502703
56,0.28,-16.071020340788632
57,0.28500000000000003,-16.039086995225045
58,0.29,-16.007340911264045
59,0.295,-15.975787547428112
60,0.3,-15.944432655726015
61,0.305,-15.91328230269269
62,0.31,-15.882342892203065
63,0.315,-15.851621190224112
64,0.32,-15.821124351685338
65,0.325,-15.790859949664343
66,0.33,-15.760836007102895
67,0.335,-15.73106103128821
68,0.34,-15.701544051355441
69,0.34500000000000003,-15.672294659089683
70,0.35000000000000003,-15.643323053329196
71,0.355,-15.614640088296357
72,0.36,-15.586257326207617
73,0.365,-15.558187094539381
74,0.37,-15.530442548351376
75,0.375,-15.5030377380923
76,0.38,-15.475987683333194
77,0.385,-15.449308452890058
78,0.39,-15.423017251806579
79,0.395,-15.397132515667451
80,0.4,-15.371674012699454
81,0.405,-15.346662954085218
82,0.41000000000000003,-15.322122112858628
83,0.41500000000000004,-15.298075951662838
84,0.42,-15.27455075952224
85,0.425,-15.251574797597875
86,0.43,-15.229178453646316
87,0.435,-15.207394404570156
88,0.44,-15.18625778601259
89,0.445,-15.165806367389633
90,0.45,-15.146080730044593
91,0.455,-15.127124445327144
92,0.46,-15.108984248318162
93,0.465,-15.091710201620188
94,0.47000000000000003,-15.07535584209854
95,0.47500000000000003,-15.059978301690844
96,0.48,-15.045638391426131
97,0.485,-15.032400635665237
98,0.49,-15.020333241395651
99,0.495,-15.00950798534939
