Number of parameters: 7346
step=57, E=(-24.12140148012638+0.00027888521268523963j), E_err=0.07416385502856546, E_var=2.8106417476687158, info=()
step=58, E=(-24.23535850727484-0.0032355477583273793j), E_err=0.08053608579261033, E_var=3.3143772296600877, info=()
step=59, E=(-24.080496960262455+0.008004612006527675j), E_err=0.08958635207829195, E_var=4.101140098613495, info=()
step=60, E=(-24.227428345541043+0.007880409930737015j), E_err=0.08526181523764381, E_var=3.7147539173228545, info=()
step=61, E=(-24.215684304139742-0.009966832049137259j), E_err=0.0859659911199041, E_var=3.7763674825352176, info=()
step=62, E=(-24.281746567166348-0.0031882794890807633j), E_err=0.08462534610891358, E_var=3.659500543271295, info=()
step=63, E=(-24.35781956543873-0.013219755316554848j), E_err=0.07731299549627975, E_var=3.054399928302572, info=()
step=64, E=(-24.35902501763097-0.00611118433373356j), E_err=0.07987014214766648, E_var=3.259791439017798, info=()
step=65, E=(-24.16025077731181+0.015550236357764348j), E_err=0.08253406640356806, E_var=3.4808666518424856, info=()
step=66, E=(-24.293110088804358-0.006602300648373291j), E_err=0.07461603421088346, E_var=2.845019358854822, info=()
step=67, E=(-24.09395232003865-0.004434505582264405j), E_err=0.07614113377631003, E_var=2.962508321151131, info=()
step=68, E=(-24.246282862294198-0.010105659166125642j), E_err=0.07427971413573882, E_var=2.8194302012964965, info=()
step=69, E=(-24.316227854909428+0.013885811437771841j), E_err=0.07790476298565568, E_var=3.1013367209799574, info=()
step=70, E=(-24.242495880294896-0.004333654384620562j), E_err=0.07846912629573098, E_var=3.1464333324054587, info=()
step=71, E=(-24.226606178332304+0.0019327450981649844j), E_err=0.07877992061527662, E_var=3.171406980888286, info=()
step=72, E=(-24.253645350267178-0.004668112078480001j), E_err=0.06784743501696223, E_var=2.352273238012647, info=()
step=73, E=(-24.31037198759368-0.006584870381572804j), E_err=0.07000258650014424, E_var=2.5040850416389, info=()
step=74, E=(-24.367865732854785-0.004625279965196058j), E_err=0.07705403096429952, E_var=3.0339724044899348, info=()
step=75, E=(-24.269882306238248-0.007943832995348381j), E_err=0.0679977409540968, E_var=2.3627070079536914, info=()
step=76, E=(-24.44435897024479-0.011652022424519343j), E_err=0.07230904234837614, E_var=2.671813376328359, info=()
step=77, E=(-24.415415604891653-0.008677790846066836j), E_err=0.07017582217488606, E_var=2.516494115157749, info=()
step=78, E=(-24.350276784162176-0.007481115316165626j), E_err=0.07614794700416568, E_var=2.963038524637054, info=()
step=79, E=(-24.37595581851788-0.00022793764987883748j), E_err=0.0687429958007571, E_var=2.4147813300197463, info=()
step=80, E=(-24.360125002104567+0.011751265140797192j), E_err=0.07362275593661692, E_var=2.7697785079600603, info=()
step=81, E=(-24.369420957309494+0.007609529690017658j), E_err=0.07515690363048981, E_var=2.8864142434579168, info=()
step=82, E=(-24.45196412180716+0.006019781815572809j), E_err=0.07018771902414107, E_var=2.517347425825817, info=()
step=83, E=(-24.501636798233847+0.007726434415649538j), E_err=0.07206249746865448, E_var=2.6536248096655353, info=()
step=84, E=(-24.447312591239125-0.008135044491410365j), E_err=0.0749486967341087, E_var=2.8704439496342538, info=()
step=85, E=(-24.36671963138684+0.005372042937534875j), E_err=0.07235019150861521, E_var=2.674855157991315, info=()
step=86, E=(-24.434413714362616+0.01797146806997263j), E_err=0.06735030027820332, E_var=2.3179281662052826, info=()
step=87, E=(-24.469567247601724+0.02249129230057717j), E_err=0.06523951255770523, E_var=2.174915133369926, info=()
step=88, E=(-24.34914282802012+0.004552331116828436j), E_err=0.07371514918173797, E_var=2.776734764850686, info=()
