Number of parameters: 7346
step=0, E=(-19.113884686391515-0.07601973429506043j), E_err=0.3819142858948241, E_var=18.52403226486029, info=()
step=1, E=(-19.662954488089074+0.0008077791879187619j), E_err=0.398914592164453, E_var=20.209872183899947, info=()
step=2, E=(-19.70134584173214-0.010544762275169706j), E_err=0.4314055619703655, E_var=23.636066380168796, info=()
step=3, E=(-19.604735203034373-0.045324800208623735j), E_err=0.3935055050028727, E_var=19.665515973380863, info=()
step=4, E=(-20.19217033819045-0.0398084860159726j), E_err=0.4398584568109156, E_var=24.571383677566175, info=()
step=5, E=(-19.502845304328716+0.0016281495947318841j), E_err=0.3548284144243735, E_var=15.989706867730202, info=()
step=6, E=(-20.034023485512122+0.01786257737254574j), E_err=0.39551971082050846, E_var=19.86735188923741, info=()
step=7, E=(-20.045422496509584-0.01962691005162981j), E_err=0.3383328079268483, E_var=14.53757429279753, info=()
step=8, E=(-20.75504551369456+0.004690878075996488j), E_err=0.37447710590280187, E_var=17.80960406135796, info=()
step=9, E=(-20.3695903203074-0.003962473308809708j), E_err=0.42425594899669783, E_var=22.859125002904257, info=()
step=10, E=(-20.722265083983274-0.05461789135253444j), E_err=0.3846948193453569, E_var=18.79474321195691, info=()
step=11, E=(-21.96007340818045-0.08739544643282557j), E_err=0.3412674978671635, E_var=14.790865147765334, info=()
step=12, E=(-22.08940947007023-0.011373122654912981j), E_err=0.29642330856763266, E_var=11.15908078849711, info=()
step=13, E=(-22.147589335470958+0.05690873613989595j), E_err=0.344688497454568, E_var=15.088890355240938, info=()
step=14, E=(-21.920610281492706+0.03982537766269004j), E_err=0.2806936596083328, E_var=10.006194179128464, info=()
step=15, E=(-21.746436181532587+0.002306938927124722j), E_err=0.28598288716623216, E_var=10.386848892495602, info=()
step=16, E=(-22.295114530364703-0.0221417441498594j), E_err=0.2534268419012176, E_var=8.156595852895142, info=()
step=17, E=(-23.34534638766169-0.16216794990621594j), E_err=0.24465313571321892, E_var=7.601604915417462, info=()
step=18, E=(-23.966473155260005-0.2557532462381556j), E_err=0.2337353897134724, E_var=6.938293515372621, info=()
step=19, E=(-24.059580460576974-0.02578840374598118j), E_err=0.2092663551264086, E_var=5.561635738262304, info=()
step=20, E=(-24.345477878867086+0.0385006523656809j), E_err=0.20700105480651976, E_var=5.441878459758498, info=()
step=21, E=(-24.223913484281034-0.04740698462623096j), E_err=0.1771756671388178, E_var=3.9866845623128153, info=()
step=22, E=(-24.464860912460686-0.0473262474124725j), E_err=0.1863126067761775, E_var=4.408473205354287, info=()
step=23, E=(-24.854063050461775-0.05579790242597313j), E_err=0.17205575031572273, E_var=3.7596040145217033, info=()
step=24, E=(-24.645184705476026-0.06538574702611183j), E_err=0.16340362971518155, E_var=3.3909947679202124, info=()
step=25, E=(-24.843659520172128-0.05472303728606085j), E_err=0.1881424086652955, E_var=4.4954908741741395, info=()
step=26, E=(-24.854542565418125-0.01469437576626545j), E_err=0.1555863228228276, E_var=3.0743021888902, info=()
step=27, E=(-24.64957977843069+0.047039099583310554j), E_err=0.11751411306593265, E_var=1.7538149797484461, info=()
step=28, E=(-24.949403811175657+0.04494853580278936j), E_err=0.13570262841194136, E_var=2.3387308264544986, info=()
step=29, E=(-24.74072452311471+0.0060475293718694634j), E_err=0.10501751365945844, E_var=1.4006421282522465, info=()
step=30, E=(-24.70834069499532-0.002334365968298273j), E_err=0.09560605348666996, E_var=1.1608457178385918, info=()
step=31, E=(-24.85159137089579+0.008922087100251132j), E_err=0.11819767446291146, E_var=1.7742776615519298, info=()
step=32, E=(-24.73807299402838-0.011239894596428103j), E_err=0.09728424743189765, E_var=1.2019565493956168, info=()
step=33, E=(-24.786814418158823+0.006108285817868143j), E_err=0.11518299195554574, E_var=1.684924447750577, info=()
step=34, E=(-24.77843450586549-0.009195523295934977j), E_err=0.09383785710066642, E_var=1.1183040150061263, info=()
step=35, E=(-24.902670513830053+0.006447152113113591j), E_err=0.12049749730747426, E_var=1.8439951508853256, info=()
step=36, E=(-24.85049268706452-0.0014179389847949909j), E_err=0.07860466371879722, E_var=0.7846940311098399, info=()
step=37, E=(-25.042111779785692+0.0001368447214355091j), E_err=0.10212853351315707, E_var=1.3246401444086018, info=()
step=38, E=(-25.256730898451554-0.000670479519643984j), E_err=0.1201988429111638, E_var=1.8348657533221941, info=()
step=39, E=(-25.086886233433873-0.0005146147777327862j), E_err=0.15952572197547943, E_var=3.2319539084183404, info=()
step=40, E=(-24.966095950306197-0.00018732622597122505j), E_err=0.1321059074677464, E_var=2.21640029006035, info=()
step=41, E=(-24.97204274747112+0.0005270323647306036j), E_err=0.12992201070296056, E_var=2.1437255658677254, info=()
step=42, E=(-24.7811388720333+0.007737239752471887j), E_err=0.16987770642072011, E_var=3.665021262623075, info=()
step=43, E=(-24.939838357981873-0.019852772093033814j), E_err=0.12123296135179547, E_var=1.8665737266019935, info=()
step=44, E=(-24.842768273293814-0.025737109780845934j), E_err=0.09067691684960563, E_var=1.0442325126674874, info=()
step=45, E=(-24.90782383963224-0.001989139242448386j), E_err=0.10343368615624644, E_var=1.3587129838473486, info=()
step=46, E=(-25.01204959777412+0.015688206339067527j), E_err=0.13390540599638381, E_var=2.2771935348921604, info=()
step=47, E=(-24.928669472540783+0.003683451632715393j), E_err=0.12400767006777492, E_var=1.9529935839260413, info=()
step=48, E=(-24.867110034923897-0.027516617946107637j), E_err=0.10992808158018112, E_var=1.5346912562271673, info=()
step=49, E=(-24.955545542797957-0.022281415186167424j), E_err=0.11341040713224694, E_var=1.633463896629555, info=()
step=50, E=(-25.007332350154407-0.004014420668838363j), E_err=0.13064079746782623, E_var=2.1675112813047583, info=()
step=51, E=(-24.812180742387575-0.008600475817871898j), E_err=0.1483073320383489, E_var=2.7933732215142992, info=()
step=52, E=(-24.826445365057673-0.014623022455554243j), E_err=0.145869513702872, E_var=2.7022952085448697, info=()
step=53, E=(-24.85167295366398-0.006480027181917827j), E_err=0.11850366123024561, E_var=1.7834759510715477, info=()
step=54, E=(-24.89370269935587-0.02808066460892514j), E_err=0.11022188115398078, E_var=1.5429056118105275, info=()
step=55, E=(-24.87415637501458-0.025442445581698753j), E_err=0.11400105061120062, E_var=1.6505224216381058, info=()
step=56, E=(-25.276137362870156-0.007294634570741843j), E_err=0.14087930741380636, E_var=2.5205663656890067, info=()
step=57, E=(-25.047436024654935+0.01065138284195872j), E_err=0.11041124895672556, E_var=1.548211774815372, info=()
step=58, E=(-24.872605506608704+0.006686735065553587j), E_err=0.08831758192124722, E_var=0.9905994001048593, info=()
step=59, E=(-24.90117449529199+0.00895529875757939j), E_err=0.11733464235828005, E_var=1.7484621237628766, info=()
step=60, E=(-24.8624181334872-0.0009142942798909984j), E_err=0.10757368847199819, E_var=1.4696565033367557, info=()
step=61, E=(-24.95045211835678+0.0027410177189028818j), E_err=0.08608830477285932, E_var=0.9412219197704185, info=()
step=62, E=(-24.91206847765721+0.0026195589243972737j), E_err=0.10465533586058419, E_var=1.3909978941596433, info=()
step=63, E=(-25.005327355315707+0.01236465720726112j), E_err=0.11034020567892841, E_var=1.5462200456370647, info=()
step=64, E=(-24.863891532875893+0.004447367979869511j), E_err=0.11217224867320069, E_var=1.5979918982951018, info=()
step=65, E=(-25.140233384201444+0.004322450217603727j), E_err=0.12626557694964866, E_var=2.024760482148311, info=()
step=66, E=(-25.03721253612051+0.005440068587360621j), E_err=0.12289375073240057, E_var=1.9180649940728303, info=()
step=67, E=(-25.029217176418307-0.004713893675794409j), E_err=0.12381572430827449, E_var=1.9469523654197944, info=()
step=68, E=(-24.888981803621135+0.005767762218152515j), E_err=0.11547991554984614, E_var=1.6936225837157488, info=()
step=69, E=(-25.015813514683938-0.005144882986059772j), E_err=0.11277451509164033, E_var=1.6151975892776356, info=()
step=70, E=(-24.881244829770903-0.0028358369980366737j), E_err=0.12508020900501673, E_var=1.9869224529618112, info=()
step=71, E=(-24.79926032338362-0.010249801434836243j), E_err=0.11093691117567972, E_var=1.5629887791724828, info=()
step=72, E=(-24.969472555517275-0.0017018368417886618j), E_err=0.11054675445578144, E_var=1.5520142849297678, info=()
step=73, E=(-24.885814992418894-0.008036849594385291j), E_err=0.11525571375754592, E_var=1.687052703327693, info=()
step=74, E=(-25.0628359981741-0.0027759592596429865j), E_err=0.1340228203999705, E_var=2.2811887812712683, info=()
step=75, E=(-25.068796754488258+0.00013786884663019832j), E_err=0.11750316066561284, E_var=1.7534880813339206, info=()
step=76, E=(-24.91488611462426-0.004019273184332197j), E_err=0.11820293929878097, E_var=1.7744357270766549, info=()
step=77, E=(-25.01717226240455-0.0025866622497624555j), E_err=0.1308872698640993, E_var=2.17569763138465, info=()
step=78, E=(-25.053203460909657+0.0025068693137327027j), E_err=0.12635051406068476, E_var=2.027485455231711, info=()
step=79, E=(-25.03189585766821+0.0030581553883514247j), E_err=0.11126450078759154, E_var=1.5722332202100184, info=()
step=80, E=(-25.016242154787296+0.0009613471608239336j), E_err=0.12348188026936045, E_var=1.936467393866797, info=()
step=81, E=(-25.19456482112102+0.011297029501171257j), E_err=0.12181295766207129, E_var=1.8844763751064597, info=()
step=82, E=(-24.985642399893784-0.006528610146977134j), E_err=0.11232459047924455, E_var=1.6023353305439094, info=()
step=83, E=(-24.935775619463435-0.00541763750522824j), E_err=0.11421361153697374, E_var=1.65668313066048, info=()
step=84, E=(-24.842372903474185+0.004668264415330288j), E_err=0.10906999225130594, E_var=1.510825427631892, info=()
step=85, E=(-25.119113737043293+0.009977246577433402j), E_err=0.14223441082960392, E_var=2.569289708253658, info=()
step=86, E=(-25.14152331469826+0.010111562754225954j), E_err=0.13412302491469894, E_var=2.284601198158157, info=()
step=87, E=(-25.069348395930234-0.0011398253404542535j), E_err=0.10908661681623268, E_var=1.5112860259882706, info=()
step=88, E=(-25.087335619764115-0.0027172117957756136j), E_err=0.14709692513458483, E_var=2.7479631837743064, info=()
step=89, E=(-25.02937074736756-0.010746160042233254j), E_err=0.13661059935164271, E_var=2.370131893612311, info=()
step=90, E=(-24.83960561650063-0.0012146659792694322j), E_err=0.15644541667882403, E_var=3.108346386775981, info=()
step=91, E=(-24.855307292507057-0.009700882268903418j), E_err=0.12156775389439813, E_var=1.8768972859399766, info=()
step=92, E=(-24.908084290999902-0.023622667747543177j), E_err=0.10845224832104412, E_var=1.493760051067956, info=()
step=93, E=(-25.04794002209615-0.0005813895217880142j), E_err=0.12134463797277231, E_var=1.8700141879223833, info=()
step=94, E=(-25.04343366946165+8.029382006520622e-05j), E_err=0.11277155285871004, E_var=1.6151127380389338, info=()
step=95, E=(-25.226572817979495-0.0006222414064340084j), E_err=0.11094562106661801, E_var=1.5632342158999144, info=()
step=96, E=(-25.068604700359096-0.0030638704476055496j), E_err=0.12754574629759144, E_var=2.066025509623414, info=()
step=97, E=(-25.088505772119646-0.006257122027698088j), E_err=0.13969980011450153, E_var=2.4785363373080234, info=()
step=98, E=(-25.093170076143615+0.0010595450825243943j), E_err=0.13341226633435485, E_var=2.2604517666755415, info=()
step=99, E=(-24.827324995200584+0.0012047063730826182j), E_err=0.1439381138807667, E_var=2.6312089396991754, info=()
step=100, E=(-25.03423091695828+0.0006239249506210789j), E_err=0.1104759742424634, E_var=1.5500274923723225, info=()
step=101, E=(-25.065588085074474-0.01135841329411752j), E_err=0.13038030985796328, E_var=2.1588762002296322, info=()
step=102, E=(-25.174202506770378-0.0111657841278695j), E_err=0.14428071826316055, E_var=2.6437495591417557, info=()
step=103, E=(-25.28972829648103+0.004940751523665564j), E_err=0.14334627830865196, E_var=2.6096157491275704, info=()
step=104, E=(-25.205547104942752+0.009974998431143649j), E_err=0.14228611175125838, E_var=2.5711578748560315, info=()
step=105, E=(-25.076556965753085+0.004609877839255857j), E_err=0.1213622086566115, E_var=1.8705557826313854, info=()
step=106, E=(-25.11427222645927-0.004051354179757268j), E_err=0.12135039821224888, E_var=1.870191731576465, info=()
step=107, E=(-24.94526630100915-0.002791435936176298j), E_err=0.12521527947656358, E_var=1.9912160092280282, info=()
step=108, E=(-24.986255226148877-4.4417447731502635e-07j), E_err=0.127204660461444, E_var=2.0549902566751292, info=()
step=109, E=(-24.73625542507752-0.00462519863954247j), E_err=0.1268988699258586, E_var=2.045122044934417, info=()
step=110, E=(-24.89093907663884-0.01545494461428059j), E_err=0.1157101124016784, E_var=1.7003814242251494, info=()
step=111, E=(-25.079189043160646-0.016880415714277473j), E_err=0.12133284458399002, E_var=1.8696507152050197, info=()
step=112, E=(-25.101386284023008+0.010749024498431105j), E_err=0.10681118376909111, E_var=1.4488958802256282, info=()
step=113, E=(-25.13097778949593+0.004190635753355357j), E_err=0.11232107274608209, E_var=1.6022349696194946, info=()
step=114, E=(-25.254058765196046+0.0006019064844477672j), E_err=0.11508592002363945, E_var=1.6820856614363169, info=()
step=115, E=(-24.920415754668454-0.004395449631942251j), E_err=0.12890451877963277, E_var=2.1102796201497043, info=()
